id,name,kind,sboTerm,dcid
group49,Estrogen metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/estrogen_metabolism
group50,Ether lipid metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/ether_lipid_metabolism
group51,Exchange/demand reactions,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/exchange/demand_reactions
group52,Fatty acid activation (cytosolic),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/fatty_acid_activation_(cytosolic)
group53,Fatty acid activation (endoplasmic reticular),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/fatty_acid_activation_(endoplasmic_reticular)
group54,Fatty acid biosynthesis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/fatty_acid_biosynthesis
group55,Fatty acid biosynthesis (even-chain),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/fatty_acid_biosynthesis_(even-chain)
group56,Fatty acid biosynthesis (odd-chain),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/fatty_acid_biosynthesis_(odd-chain)
group57,Fatty acid biosynthesis (unsaturated),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/fatty_acid_biosynthesis_(unsaturated)
group58,Fatty acid desaturation (even-chain),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/fatty_acid_desaturation_(even-chain)
group59,Fatty acid desaturation (odd-chain),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/fatty_acid_desaturation_(odd-chain)
group60,Fatty acid elongation (even-chain),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/fatty_acid_elongation_(even-chain)
group61,Fatty acid elongation (odd-chain),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/fatty_acid_elongation_(odd-chain)
group62,Fatty acid oxidation,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/fatty_acid_oxidation
group63,Folate metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/folate_metabolism
group64,Formation and hydrolysis of cholesterol esters,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/formation_and_hydrolysis_of_cholesterol_esters
group65,Fructose and mannose metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/fructose_and_mannose_metabolism
group66,Galactose metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/galactose_metabolism
group67,Glucocorticoid biosynthesis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/glucocorticoid_biosynthesis
group68,Glutathione metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/glutathione_metabolism
group69,Glycerolipid metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/glycerolipid_metabolism
group70,Glycerophospholipid metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/glycerophospholipid_metabolism
group71,"Glycine, serine and threonine metabolism",dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/glycine__serine_and_threonine_metabolism
group72,Glycolysis / Gluconeogenesis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/glycolysis_/_gluconeogenesis
group73,Glycosphingolipid biosynthesis-ganglio series,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/glycosphingolipid_biosynthesis-ganglio_series
group74,Glycosphingolipid biosynthesis-globo series,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/glycosphingolipid_biosynthesis-globo_series
group75,Glycosphingolipid biosynthesis-lacto and neolacto series,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/glycosphingolipid_biosynthesis-lacto_and_neolacto_series
group76,Glycosphingolipid metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/glycosphingolipid_metabolism
group77,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/glycosylphosphatidylinositol_(gpi)-anchor_biosynthesis
group78,Heme degradation,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/heme_degradation
group79,Heme synthesis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/heme_synthesis
group80,Heparan sulfate degradation,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/heparan_sulfate_degradation
group81,Hippurate metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/hippurate_metabolism
group82,Histidine metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/histidine_metabolism
group83,Inositol phosphate metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/inositol_phosphate_metabolism
group84,Isolated,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/isolated
group85,Keratan sulfate biosynthesis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/keratan_sulfate_biosynthesis
group86,Keratan sulfate degradation,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/keratan_sulfate_degradation
group87,Leukotriene metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/leukotriene_metabolism
group88,Linoleate metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/linoleate_metabolism
group89,Lipoic acid metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/lipoic_acid_metabolism
group90,Lysine metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/lysine_metabolism
group91,Metabolism of other amino acids,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/metabolism_of_other_amino_acids
group92,Miscellaneous,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/miscellaneous
group93,N-glycan metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/n-glycan_metabolism
group94,Nicotinate and nicotinamide metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/nicotinate_and_nicotinamide_metabolism
group95,Nucleotide metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/nucleotide_metabolism
group96,O-glycan metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/o-glycan_metabolism
group97,Omega-3 fatty acid metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/omega-3_fatty_acid_metabolism
group98,Omega-6 fatty acid metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/omega-6_fatty_acid_metabolism
group99,Oxidative phosphorylation,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/oxidative_phosphorylation
group100,Pantothenate and CoA biosynthesis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/pantothenate_and_coa_biosynthesis
group101,Pentose and glucuronate interconversions,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/pentose_and_glucuronate_interconversions
group102,Pentose phosphate pathway,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/pentose_phosphate_pathway
group103,Peptide metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/peptide_metabolism
group104,Phenylalanine metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/phenylalanine_metabolism
group105,"Phenylalanine, tyrosine and tryptophan biosynthesis",dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/phenylalanine__tyrosine_and_tryptophan_biosynthesis
group106,Phosphatidylinositol phosphate metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/phosphatidylinositol_phosphate_metabolism
group107,Pool reactions,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/pool_reactions
group108,Porphyrin metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/porphyrin_metabolism
group109,Propanoate metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/propanoate_metabolism
group110,Prostaglandin biosynthesis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/prostaglandin_biosynthesis
group111,Protein assembly,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/protein_assembly
group112,Protein degradation,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/protein_degradation
group113,Protein modification,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/protein_modification
group114,Purine metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/purine_metabolism
group115,Pyrimidine metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/pyrimidine_metabolism
group116,Pyruvate metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/pyruvate_metabolism
group117,ROS detoxification,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/ros_detoxification
group118,Retinol metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/retinol_metabolism
group119,Riboflavin metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/riboflavin_metabolism
group120,Serotonin and melatonin biosynthesis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/serotonin_and_melatonin_biosynthesis
group121,Sphingolipid metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/sphingolipid_metabolism
group122,Starch and sucrose metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/starch_and_sucrose_metabolism
group123,Steroid metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/steroid_metabolism
group124,Sulfur metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/sulfur_metabolism
group125,Terpenoid backbone biosynthesis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/terpenoid_backbone_biosynthesis
group126,Thiamine metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/thiamine_metabolism
group127,Transport reactions,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/transport_reactions
group128,Triacylglycerol synthesis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/triacylglycerol_synthesis
group129,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/tricarboxylic_acid_cycle_and_glyoxylate/dicarboxylate_metabolism
group130,Tryptophan metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/tryptophan_metabolism
group131,Tyrosine metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/tyrosine_metabolism
group132,Ubiquinone synthesis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/ubiquinone_synthesis
group133,Urea cycle,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/urea_cycle
group134,"Valine, leucine, and isoleucine metabolism",dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/valine__leucine__and_isoleucine_metabolism
group135,Vitamin A metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/vitamin_a_metabolism
group136,Vitamin B12 metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/vitamin_b12_metabolism
group137,Vitamin B2 metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/vitamin_b2_metabolism
group138,Vitamin B6 metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/vitamin_b6_metabolism
group139,Vitamin C metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/vitamin_c_metabolism
group140,Vitamin D metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/vitamin_d_metabolism
group141,Vitamin E metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/vitamin_e_metabolism
group142,Xenobiotics metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/xenobiotics_metabolism
